"service","initDate","endDate","availabilityService","availability"
"micro-evaluaciones","2023-09-23T21:23:36.412Z","2023-09-23T21:25:16.412Z",0.3888888888888889,0.3888888888888889
"micro-evaluaciones","2023-09-23T21:23:50.114Z","2023-09-23T21:25:30.114Z",0.2777777777777778,0.2777777777777778
"micro-evaluaciones","2023-09-23T21:24:05.912Z","2023-09-23T21:25:45.912Z",0.1111111111111111,0.1111111111111111
"micro-evaluaciones","2023-09-23T21:24:20.313Z","2023-09-23T21:26:00.313Z",0,0
"micro-evaluaciones","2023-09-23T21:24:35.059Z","2023-09-23T21:26:15.059Z",0,0
"micro-evaluaciones","2023-09-23T21:24:50.070Z","2023-09-23T21:26:30.070Z",0,0
"micro-evaluaciones","2023-09-23T21:25:05.213Z","2023-09-23T21:26:45.213Z",0,0
"micro-evaluaciones","2023-09-23T21:25:21.412Z","2023-09-23T21:27:01.412Z",0,0
"micro-evaluaciones","2023-09-23T21:25:35.213Z","2023-09-23T21:27:15.213Z",0.1111111111111111,0.1111111111111111
"micro-evaluaciones","2023-09-23T21:25:50.612Z","2023-09-23T21:27:30.612Z",0.2777777777777778,0.2777777777777778
"micro-evaluaciones","2023-09-23T21:26:06.112Z","2023-09-23T21:27:46.112Z",0.4444444444444444,0.4444444444444444
"micro-evaluaciones","2023-09-23T21:26:20.272Z","2023-09-23T21:28:00.272Z",0.6111111111111112,0.6111111111111112
"micro-evaluaciones","2023-09-23T21:26:35.114Z","2023-09-23T21:28:15.114Z",0.7222222222222222,0.7222222222222222
"micro-evaluaciones","2023-09-23T21:26:50.912Z","2023-09-23T21:28:30.912Z",0.8888888888888888,0.8888888888888888
"micro-evaluaciones","2023-09-23T21:27:06.312Z","2023-09-23T21:28:46.312Z",1,1
"micro-evaluaciones","2023-09-23T21:27:20.318Z","2023-09-23T21:29:00.318Z",1,1
"micro-evaluaciones","2023-09-23T21:27:35.312Z","2023-09-23T21:29:15.312Z",1,1
"micro-evaluaciones","2023-09-23T21:27:51.613Z","2023-09-23T21:29:31.613Z",1,1
"micro-evaluaciones","2023-09-23T21:28:05.140Z","2023-09-23T21:29:45.140Z",1,1
"micro-evaluaciones","2023-09-23T21:28:20.616Z","2023-09-23T21:30:00.616Z",1,1
"micro-evaluaciones","2023-09-23T21:28:35.412Z","2023-09-23T21:30:15.412Z",1,1
"micro-evaluaciones","2023-09-23T21:28:51.812Z","2023-09-23T21:30:31.812Z",1,1
"micro-evaluaciones","2023-09-23T21:29:05.212Z","2023-09-23T21:30:45.212Z",1,1
"micro-evaluaciones","2023-09-23T21:29:20.712Z","2023-09-23T21:31:00.712Z",1,1
"micro-evaluaciones","2023-09-23T21:29:35.812Z","2023-09-23T21:31:15.812Z",1,1
"micro-evaluaciones","2023-09-23T21:29:50.383Z","2023-09-23T21:31:30.383Z",1,1
"micro-evaluaciones","2023-09-23T21:30:05.512Z","2023-09-23T21:31:45.512Z",0.9444444444444444,0.9444444444444444
"micro-evaluaciones","2023-09-23T21:30:21.912Z","2023-09-23T21:32:01.912Z",0.7777777777777778,0.7777777777777778
"micro-evaluaciones","2023-09-23T21:30:36.412Z","2023-09-23T21:32:16.412Z",0.6111111111111112,0.6111111111111112
"micro-evaluaciones","2023-09-23T21:30:50.112Z","2023-09-23T21:32:30.112Z",0.5,0.5
"micro-evaluaciones","2023-09-23T21:31:05.067Z","2023-09-23T21:32:45.067Z",0.3333333333333333,0.3333333333333333
"micro-evaluaciones","2023-09-23T21:31:20.812Z","2023-09-23T21:33:00.812Z",0.16666666666666666,0.16666666666666666
"micro-evaluaciones","2023-09-23T21:31:35.063Z","2023-09-23T21:33:15.063Z",0.05555555555555555,0.05555555555555555
"micro-evaluaciones","2023-09-23T21:31:50.113Z","2023-09-23T21:33:30.113Z",0,0
"micro-evaluaciones","2023-09-23T21:32:05.812Z","2023-09-23T21:33:45.812Z",0,0
"micro-evaluaciones","2023-09-23T21:32:21.013Z","2023-09-23T21:34:01.013Z",0,0
"micro-evaluaciones","2023-09-23T21:32:35.313Z","2023-09-23T21:34:15.313Z",0,0
